reclat,reclong
39.33,-98.17
43.53,22.63
33.5,-85.67
31.3,72.38
29.53,72.3
36.23,37.13
58.62,98.93
-29.2,-51.87
35.85,-82.7
50.62,36.6
38.3,-94.37
-25,-69.5
36.08,-78.07
-34.97,148.12
48.4,-3.3
40.9,-123.1
-24.55,-69.07
-26.22,-48.6
-23.1,-70.5
-32.45,135.55
20.92,82.58
-23,-69
36.88,8.45
46.93,21.5
35.75,-81.25
26.98,78.22
44.6,5.13
41.8,-91.87
48.63,34.37
-23.45,-70.12
46.15,32.83
12.85,76.8
59.98,117.58
36.3,-82.88
41.08,-86.28
59.93,14.95
52.77,-2.52
38.4,-84.25
38.68,-91.15
47.28,11.42
-27.7,27.3
55.7,24.4
20.88,74.83
43.67,21.87
37.25,-85
50.3,8.92
20.67,-101.28
-34.67,-59.37
29.88,-96.87
52.98,37.03
49.6,17.12
40.75,-97.5
26.92,83.97
26.8,82.53
55.05,12.07
-25.73,142.95
43.42,-94.83
-46.32,168.4
20.17,-105.22
50.67,16.77
39.65,-99.68
17.83,73.98
34.8,-84.98
47.08,1.75
-27.67,-67.12
-3.4,-44.33
35.67,-80.25
48,-97.93
-32.37,-59.83
-34.1,18.47
35.3,-81.73
34,-81.25
50.78,6.08
14.5,76.5
35.38,134.9
26.58,85.57
38.62,-84.97
52.2,17.98
35.33,51.63
-32.5,23
-29.88,150.57
37.83,-80.32
35.33,-115.32
38.7,-96.1
54.57,-1.17
-32.87,18.72
59.33,-136
-28.5,27
36.83,-105.23
46.35,30.58
-25.7,143.05
21.05,-99.3
33.18,130.2
-23.43,-69.5
46.8,24.03
52.03,43
35.87,-81.92
24.12,-104.3
-33.32,19.62
25.8,88.45
37.58,-99.16
-7.45,111.42
44.75,0.05
39.87,-83.95
37.9,-82.38
36.9,30.68
-31.88,141.2
42.97,-85.77
45.27,10.15
33.9,-101.75
41.77,-8.58
44.92,-92.43
35.6,-105.8
-26.5,-70.25
35.77,-91.5
-7.5,111.5
-32.1,117.72
29.58,76
-26.03,-70.33
-30.55,29.42
-26.33,-70.28
60,5.62
34.92,135.97
46.62,-98.5
-27.15,-69.92
17.9,-77.63
24.68,-101.68
51.17,77.33
27.28,79.05
35.5,-93.5
12.28,79.2
43.03,12.55
52,9.1
-34.15,141.78
47,7.83
54.82,46
32.03,130.63
39.08,-95.12
40.5,-80.08
38.42,-106.58
34.37,-85.43
36.93,-80.5
41.23,-104.98
-38.33,-60.88
44.65,-87.47
35.83,-84.92
-26.5,-69.5
31.92,-98.03
36.2,-83.38
29.5,-98.5
36,-119
43,-80
50.13,27.17
29.68,-98.92
24.45,78.57
29.4,-98.5
57.78,55.27
11.25,108.58
36.63,-83.83
39.78,-77.22
24.9,-105.4
33.47,-82.48
38.5,-100
-18.5,-44
-34.5,144.72
32.48,4.4
44.75,-77.58
43.02,-79.22
37.97,-90.32
-17.3,-45
-33.85,148.68
-24,-69
-19.92,-69.82
51.95,62.2
39.42,-79.15
48.07,30.97
30.3,-97.7
33.82,-97
20.58,-104.07
46.08,-88.56
30.56,-97.95
38.82,-84.6
36.1,-81.42
43.83,20.44
-30.38,147.2
17.7,-97
1.17,44.17
29.8,-109.67
36.55,-79.78
56.22,13.03
28.95,0.82
47.92,4.35
38.82,-104.62
12.38,78.52
32.92,-104.67
56.67,23
35.72,-81.87
21.25,83.67
35,-94
48.07,35.08
30.81,109.5
39.33,-100.07
-41.18,148.03
46.98,17.7
42.53,12.62
43.25,-93.67
34.2,-86.48
48.02,-1.15
36.7,137.37
39.75,-97.03
41.28,-77.05
36.3,-82.47
32.9,-107.73
39.93,-99.6
-27.33,-69.8
39.75,46.67
36.1,-80.2
35.05,-111.03
55.88,89.1
43.77,20.23
39.75,-84.17
-30.92,151.28
-22.33,118
62,7.67
-27.7,115.77
38.73,-6.02
27.7,76.33
35.63,-78.13
36.5,137
-22.57,-70.25
45.42,-98.32
41.33,-86.32
39.63,-100.5
39.68,-121.63
39.12,-83.85
41.65,-86.22
35.05,-84.23
32.58,-96.42
33.5,-114
55.18,27.92
20.83,71.47
51.17,-117.33
33.5,-105.5
38,-0.83
21.95,78.03
47.82,-96.85
44.6,-94.1
38.5,-99.6
34.2,-84.48
47.22,29.87
42.53,-122.88
40.33,-99.03
38.77,-100.73
-23.38,150.52
45,-114
-26.68,-61.08
49.17,19.5
25.38,82.6
-29.87,144.22
43.87,-85.52
38.95,-101.02
27.67,78.25
33.63,-106.38
30.33,-109.98
26.02,-111.37
34,-106.97
39.2,-98.78
20.07,-103.67
50.37,4.73
40.42,-3.72
14.6,-88.68
38.6,-95.22
34.2,131.57
-28.93,148.95
28.57,77.25
50.58,11.1
44.4,19.12
19.27,-97.28
42.7,-77.88
43.75,5.12
27.35,68.53
31.42,-100.35
33.6,130.43
32.08,76.3
-22.9,-69.35
31.97,-97.87
49.77,18.25
34.02,-85.27
-23.5,133.83
10.27,77.4
39,-0.67
42.72,-99.38
-37.15,148.92
47,88
49.65,29.63
44.62,-70.75
33.7,133.8
38.42,-106.22
31.5,-96.88
34.25,-112.75
61.73,5.93
41.97,2.82
54.87,50.88
-15.18,35.28
35.1,-84.03
37.87,27.52
19.87,-100.82
21.87,82.45
40.25,-100.5
34.17,-115.92
46.68,-112.55
60.4,25.8
42.53,-85.88
-10.67,35.5
-41.5,145.42
-34.67,139.28
50.95,31.82
13.85,-4.38
52.27,32.85
49.75,14.42
-18,16
-31.15,149.12
-29.47,151.62
41.6,-86.72
50.95,7.32
32.53,-87.17
29.83,-96.91
51.12,57.92
51.85,107.92
47.88,22.03
40.6,-103.18
61.18,22.68
39.4,-100.4
40,-99.25
63.92,-139.33
26.22,69.55
35.32,-81.47
34,-84.8
35.25,-112.5
46.55,6.82
-29.8,141.7
53.83,97.33
45.37,-122.58
70,24
-33.17,-64.95
38.25,-83.75
54.62,-6.22
-27.83,123.87
14.5,-90.5
38.5,27
61.5,30.5
14.18,75.8
-33.62,24
36.9,-100.22
40.67,-96.75
30.75,-104.25
-32.5,21.9
30,-109.67
44.87,9.15
18.65,-97.55
38.57,-85.23
-32.33,151.2
39.1,-94.63
-19.82,-48.78
57.17,65.53
37.07,-93.55
23.5,90.33
35.03,-83.03
5.28,8.25
-20.8,-69.67
-32.02,27.42
21.43,-102.57
-35.98,145.58
46.82,7.22
27.87,-101.5
-28.88,-66.67
-37,149.03
44.32,9.98
44.05,-80.17
52.73,84.08
42.9,24.7
48.45,-72.07
35.08,135.2
49.08,42.52
-40.73,146.97
-23,-69.5
33.3,130.37
38.5,-101.1
38.47,-100.93
47.7,16.6
35,-111
41.27,1.92
47.85,34.77
27.8,67.17
63.92,-139.33
22.08,86.9
-28.9,146.77
-13.02,34.2
-38.68,-61.1
-33.75,18.57
38.5,-96.2
23.1,87.43
32.4,-87
36.83,-97.33
40.38,-110.87
41.12,45
37.73,-89.85
67.8,23.1
56.8,77
50.82,8.77
36.85,138.38
30.75,-95.95
39.77,-76.67
40,29
-33,26.4
36.9,-76.3
38.77,-105.52
-33.85,18.95
-30.82,29.35
59.18,12.22
5.38,16.38
28.9,-108.57
42.6,-99.8
25.85,83.48
32.32,-97.42
57.85,114.2
43.6,-103.03
34.58,-87.5
49.87,30.83
-19.47,-44.22
32.87,-115.58
38.08,-115.53
-7,115.5
56,22
-29.45,121.22
-23.33,134.67
46,13.5
34.5,-84.5
38.98,-111.85
36.47,-88.6
-39.63,174.4
-29.45,119.72
-28.83,21.13
33.21,-99.73
49.98,12.87
35.53,136.88
30.7,-105.5
-31.73,146.4
-29.58,139.9
31.83,-98.83
34,-111
61.65,27.2
38.35,140.37
41.18,-103
25.1,81.53
53.33,70.07
17.74,120.46
-34.07,139.75
44.85,11.4
45.5,-77
-21.98,-69.62
-30.58,23.55
-18.33,-66.83
27.33,35.67
21.87,76.03
35.29,136.7
31.62,76.8
25.68,83.25
52.87,16.63
-32.08,21.33
43.58,-89.6
47.65,-2.77
39.8,-100.52
51.47,84.77
49.22,15.8
31.32,30.35
-30.78,127.55
26.5,-100
37.62,-98.92
24.65,76.87
40.3,44.5
-28.57,30.7
-67.18,142.38
38,-108.5
-34.32,149.38
39.93,-99.22
34.9,-110.18
33.72,74.83
33.98,-101.28
-33.28,148.88
51.37,107.38
-25.67,28.37
37.43,-3.65
51.06,94.4
35.42,-79.38
36.17,-85.52
32.03,-99.25
-22.5,116.17
30.4,78.2
35.67,136.3
63.3,27.73
36.04,139.96
37.47,-118
40.23,-100.83
40.75,-97.75
-5.25,-40.5
48.17,22.31
53.58,-2.72
43.48,118.62
43.73,1.38
31.65,-106.18
52.47,16.9
-31.6,25.8
51.13,34.5
-29.3,21.15
47.55,22.02
-29.75,141.03
-29.07,139.92
10.83,76.03
43.47,-106.77
-29.75,141.03
-29.23,139.93
-6.23,106.88
-38.25,178.08
29.2,-99.77
-23.9,151.3
-31,124.83
29,-103.25
25.45,70
39.5,140.2
51.23,57.38
36.03,138.08
41.5,-104.1
43.03,-78.03
30.82,-97.05
39.12,-98.17
-24.17,-69.83
36.75,-93.5
50.92,9.18
30.9,32.48
26.68,-80.8
34.5,133.75
44.55,131.63
38.67,116.13
49.88,-103.6
11.75,122.33
-36.4,-59.5
25.93,84.28
24.17,87.77
28.27,78.78
-28.17,118.5
52.33,-104.87
44.25,-88.25
48.2,43.73
23.98,87.08
34.7,117
29.86,-96.93
27.88,68.53
47.77,-119.88
-29.5,118.75
37.87,-100.67
35.67,103.5
39.08,-94.4
38.3,27.13
34.12,-101.78
32.17,-95.1
56.58,-3.25
39.67,-100
34.53,-101.7
34.62,-101.95
10.2,76.27
44.9,-90.28
44.12,27.27
35.43,136.23
46.88,-102.32
35.68,-82.18
-26,30
28.83,-81.68
57.35,37.62
30.42,-99.4
41.17,-101.67
-14.25,132.02
52.55,46.55
36.22,-92.27
-33.62,115.92
-33.62,115.92
-21.22,-43.93
36.58,-100.2
38.2,115.7
5,48
37.08,-98.05
-6.73,111.37
35,-94.75
36.83,-84.35
43.84,20.33
-31,118.5
32.1,71.8
32.5,-115.5
46.38,-101.23
-16.5,14
38.17,-76.38
32.18,-97.8
-30.87,-64.55
42.18,-103.93
49.09,11.33
20.25,-12.68
44.02,28.63
45.5,118
25.48,81.98
49.98,7.53
35,-112
37.05,138.38
-19.58,17.92
-30,138
25.25,80.62
36.38,-79.87
3.82,43.33
36.72,-86.57
39.52,140.37
-16.27,-47.95
-26.12,116.67
35.33,-109.5
-29.75,22.5
25.85,87.58
26.28,34.25
33.88,35.5
-34.82,147.13
31.95,-83.52
44.52,-83.95
37.83,-76.7
28.38,75.78
25.67,74.87
9.67,105.67
55.18,-162.55
30.83,-97.77
37.17,-108.5
34.5,-88.67
-26.33,118.33
-29.45,143.6
38.13,14.97
-6.67,106.58
-18.94,-44.98
-30.5,142.33
36.85,-82.45
31.72,-102.4
38.12,140.06
37.02,-85.92
40,-78.85
55.47,13.78
-27.72,117.25
39.35,-101.67
43.39,1.96
13.77,5.3
35.17,-88.18
-8.38,-36.77
37.27,-99.33
35.6,-91.27
36.5,-99.5
41.78,-84.18
52.05,0.3
-25.17,-69.28
33.1,-96.7
13.73,100.08
29.67,-111.5
9.07,38.42
11.65,-3.65
40.35,-104.9
34.6,116.75
38.53,-100.22
36.78,-78.08
36.48,-90.67
-37.33,-61.53
-22.37,135.77
50.72,10.12
-30.53,134.75
39.78,-100.81
38.72,-7.07
-33.9,-61.7
37.27,-99.33
-32.27,139.87
34.8,127
37,-109.05
24.5,90.22
41.93,-7.47
-30.12,28.7
55.95,125.4
47.25,-122.42
51.75,4
-18.58,-46.53
-18.58,-46.53
-26.67,119
-44.82,171.13
47.75,16.23
-32.75,-65.28
49.97,17.9
35.25,-106.5
43.33,141.87
19.08,8.38
-22.9,138.72
33.52,-95.3
26.75,68.42
35.5,-98.7
-35.02,139.92
46.93,7.22
38.18,-5.4
35.73,139.75
32,-102
-21.98,16.93
34.48,133.28
39.8,-91.5
24.95,75.15
42.33,-113.7
7.95,8.08
-32.37,-60.15
38.2,-89.68
45.22,62.08
37.2,-101.35
31.77,-99.98
41.23,-103.48
37.6,-101.25
-35.38,140.92
35.8,-113.7
33.7,-83.7
46.7,32.6
39.7,-103.17
52.28,8.05
44.42,23.5
61.3,12.3
-36.87,-60.17
47.12,7.55
19.25,77
34.17,131.45
39.97,-103.77
35.2,-111.4
58.88,9.4
38.97,-95.17
32.67,-105.1
-34.05,150.69
41.37,-98.63
56,76.75
31.5,121.08
-31.18,-57.95
-27,-51
40.87,-97.6
28.2,76.67
56.75,75.33
50.38,21.73
35.13,44.45
39.8,-101.2
28.67,-106.12
35.17,-107.88
30.73,-101.3
37.37,-85.37
39.57,-2.1
35.47,-115.67
35.97,-82.48
55.67,25
-28.85,116.28
-33.25,135.53
52.95,8.17
35,127.5
36.07,-90.5
38.9,-79.18
56.65,15.87
30.7,-96.12
-35.08,139.92
-9.12,33.07
-40.98,145.6
33.27,-116.38
35.67,-100.6
-3.13,33.52
35.4,-92.05
35.52,-79.97
-31.6,-65.23
34.38,-100.4
-30.75,117.78
54.23,52.48
40.25,-110.08
-24.57,133.17
53.04,-4.32
-25.67,117
37.65,-105.73
52,-108.3
20.06,51.42
44.22,-89.1
-23.33,134.12
52.27,-105.35
32.95,10.42
42.52,26.17
43.7,-104.7
44.5,-104.2
