reclat,reclong
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
24.34,-102.08
-71.5,35.67
34.52,-117.98
-24.75,15.37
38.48,-113.14
-72.58,31.25
-72.58,31.25
-72.58,31.25
-72.58,31.25
-72.58,31.25
34.21,-103.22
34.9,-100.91
34.95,-107.17
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.22,158.68
-76.21,158.48
-76.23,158.26
-76.25,158.6
-76.21,158.51
-76.21,158.49
-76.22,158.56
-76.22,158.62
-76.24,158.32
-76.21,158.51
-76.23,158.61
-76.22,158.42
-76.22,158.67
-76.69,159.25
-76.77,159.28
34.67,-101.82
33.25,-112.05
38.52,-99.81
-76.73,159.29
-76.21,158.43
-30.98,127.88
-76.24,158.29
-76.21,158.51
33.72,-102.77
29.37,79.43
-76.77,159.28
-76.23,158.27
-76.69,159.25
39.46,-4.38
34.42,-101.5
33.75,-103.13
-76.77,159.28
34.13,-103.53
-30.4,127.43
-32.07,125.15
-27.95,122.88
33.28,-102.96
33.28,-102.96
34.34,-102.22
-76.77,159.29
-76.24,158.33
-76.21,158.51
-76.24,158.76
-76.21,158.52
-76.22,158.43
-76.24,158.22
-71.5,35.67
-76.25,158.21
-76.21,158.44
-76.22,158.38
-76.21,158.47
-76.22,158.4
-76.24,158.27
-76.21,158.49
-76.21,158.48
-76.24,158.22
-76.23,158.27
33.29,-102.54
-76.77,159.29
-76.22,158.35
-76.25,158.24
-76.22,158.4
-76.22,158.79
-76.22,158.35
-76.21,158.48
-76.22,158.81
-76.22,158.35
-76.21,158.44
-76.24,158.71
-76.22,158.38
-76.21,158.48
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.7,159.34
-76.71,159.37
-76.77,159.29
-76.76,159.31
-76.77,159.28
-76.77,159.28
-76.69,159.37
-76.77,159.28
-76.77,159.28
-76.77,159.28
-76.75,159.32
-76.77,159.28
-75.83,158.2
39.17,-101.28
-76.77,159.28
30.33,-98.95
-76.7,159.33
-76.77,159.29
37.1,118.4
15,48.3
24.8,103.3
34.8,111.7
-76.69,159.37
-76.76,159.34
35.92,-101.9
-76.69,159.37
31.25,-99.03
-76.69,159.26
-76.69,159.26
-76.69,159.26
-76.74,159.3
44.67,117.5
-76.69,159.37
-26.26,120.73
-76.77,159.28
34.78,-103.67
-76.22,158.68
-76.24,158.33
-76.24,158.25
-76.22,158.57
-71.83,35.5
-71.5,35.67
-76.24,158.27
-71.5,35.67
-71.5,35.67
-71.5,35.67
-25.78,137.93
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.24,158.26
-71.5,35.67
-76.22,158.61
-76.21,158.5
-76.25,158.31
-76.23,158.44
-76.21,158.46
-76.21,158.49
-76.22,158.4
-76.21,158.47
-76.21,158.42
-76.22,158.54
-76.21,158.45
-76.24,158.24
-76.21,158.48
-76.22,158.67
-76.27,159.25
-76.21,158.49
-76.71,158.77
-76.72,159.35
-76.72,159.67
-76.69,159.35
-76.82,158.15
-76.7,159.4
-76.69,159.36
-76.66,159.34
-76.69,159.35
-76.69,159.38
-76.68,159.35
-76.68,159.34
-76.69,159.29
-76.71,159.3
-76.69,159.34
-76.69,159.39
-76.69,159.39
-76.68,159.35
-76.69,159.38
-76.7,159.38
-76.73,159.41
-76.69,159.38
-76.69,159.39
-76.69,159.38
-76.71,159.36
-76.69,159.39
-76.69,159.29
-76.7,159.31
-76.69,159.39
-76.71,159.39
34.61,-101.77
-76.7,159.37
32.15,-111.11
34.67,-102
-76.68,159.34
-76.72,158.73
-76.66,159.32
-76.69,159.36
-76.69,159.36
-76.69,159.39
-76.67,159.32
-76.69,159.35
-76.7,159.4
-76.72,159.28
-76.66,159.32
-76.69,159.32
-76.71,159.37
-76.71,158.74
55.8,66
34.94,-100.94
-76.75,158.84
-76.7,159.25
-76.68,159.25
-76.71,159.37
-76.7,159.4
-76.69,159.38
-76.69,159.39
-76.72,159.37
-76.7,159.4
-76.7,159.4
-76.68,159.27
-76.67,159.3
-76.68,159.27
-76.69,159.38
-76.66,159.32
-76.7,159.36
-76.71,159.37
-76.69,159.36
-76.67,159.26
-76.69,159.25
-76.71,158.78
-76.68,159.27
-76.82,158.21
-76.68,159.36
44.4,-98.53
-76.68,159.34
-76.7,159.34
-76.77,159.28
-76.72,158.73
-76.68,159.26
-76.72,158.75
-76.7,159.4
-76.82,158.21
-76.75,159.33
-76.83,158.26
-76.82,158.17
-76.71,159.25
-76.66,159.33
-76.72,159.67
-76.73,158.81
-76.71,158.74
-76.77,159.32
-76.7,159.27
29.32,-100.97
34.54,-102.57
-76.7,159.4
-76.69,159.39
-76.7,159.4
-76.68,159.36
-76.66,159.32
-76.69,159.27
-76.69,159.35
-76.69,159.38
-76.69,159.39
-76.69,159.36
-76.69,159.39
-76.71,159.39
-76.69,159.39
-76.69,159.34
-76.69,159.29
-76.69,159.39
-76.7,159.3
-76.69,159.34
-76.69,159.36
-76.71,159.41
-76.72,158.71
-76.69,159.39
-76.68,159.36
-76.7,159.37
-76.71,158.8
-76.7,159.4
-76.7,159.4
-76.69,159.36
45.7,43.7
-76.7,159.33
-76.69,159.36
34.48,-102.33
-76.69,159.36
-76.69,159.25
-76.68,159.34
-76.68,159.34
-76.69,159.36
-76.68,159.35
-76.69,159.37
-76.69,159.33
-76.69,159.36
-76.69,159.38
-76.69,159.36
-76.69,159.37
-57.79,-90.79
-76.71,158.78
-76.69,159.39
66.9,164.2
34.32,-103.42
34.22,-103.2
34.1,-103.48
34.1,-103.48
34.1,-103.48
34.1,-103.48
34.1,-103.48
39.92,42.82
31.2,112.5
-76.69,159.39
-76.68,159.36
-76.75,159.38
-76.69,159.3
-76.69,159.39
-76.69,159.35
-76.68,159.34
-76.69,159.35
-76.71,158.78
-76.7,159.4
-76.68,159.35
-76.71,159.36
33.63,-103.33
-76.69,159.36
-76.69,159.3
-34.22,146.38
-76.69,159.39
-76.68,159.34
-76.67,159.28
-76.68,159.27
-76.69,159.36
67.3,160.8
-76.71,159.31
-76.69,159.34
33.33,-102.27
54,52.2
-76.71,158.78
-76.72,158.77
-76.72,158.76
34.28,-101.83
-76.72,158.76
-76.72,158.76
-76.68,159.26
-76.69,159.18
-76.69,159.27
-76.72,159.67
-76.69,159.26
-76.69,159.28
-76.7,159.39
-76.7,159.38
-76.7,159.39
-76.72,158.76
-76.73,158.8
-76.71,158.78
-76.71,158.78
-76.72,158.76
-76.71,158.78
32.88,-101.88
-8.65,115.22
-76.69,159.36
-76.69,159.38
-76.66,159.32
-76.66,159.32
-76.7,159.4
-76.7,159.4
34.67,-101.82
-76.72,158.73
-76.69,159.36
-76.68,159.36
-76.69,159.36
-76.68,159.36
-76.69,159.36
-76.72,158.81
-76.71,158.79
-76.71,158.79
-76.72,158.73
-76.69,159.37
-76.69,159.39
-76.71,158.78
-76.7,159.36
-76.68,159.35
-76.69,159.39
-76.69,159.39
-76.69,159.35
-76.69,159.36
-76.7,159.4
-76.69,159.36
-76.66,159.35
-76.69,159.36
-76.68,159.34
-76.7,159.34
-76.69,159.36
-76.7,159.4
-76.67,159.29
-76.69,159.25
-76.71,158.8
-76.69,159.34
-76.71,159.34
-76.71,158.78
-76.68,159.35
-76.69,159.38
-76.69,159.39
-76.69,159.36
-76.69,159.39
-76.68,159.35
-76.71,158.78
-76.68,159.36
-76.71,158.8
-76.69,159.3
-76.69,159.38
-76.68,159.28
-76.69,159.35
-76.69,159.36
-76.72,159.29
-76.66,159.32
-76.7,159.37
-76.68,159.35
-76.68,159.3
-76.69,159.36
-76.69,159.38
-76.7,159.26
-76.69,159.38
-76.69,159.36
-76.66,159.34
-76.71,159.41
-76.7,159.4
-76.71,159.35
-76.69,159.39
-76.7,159.36
-76.69,159.26
-76.68,159.31
-76.69,159.39
-76.72,158.73
-76.7,159.4
-76.67,159.28
-76.7,159.4
-76.69,159.36
-76.68,159.34
-76.66,159.31
-76.69,159.36
-76.66,159.33
-76.68,159.33
-76.71,158.79
-76.7,159.4
-76.71,159.41
-76.72,158.73
-76.68,159.36
-76.71,159.38
-76.69,159.39
-76.68,159.34
-76.69,159.36
-76.69,159.36
-76.76,159.29
-76.69,159.35
-76.67,159.28
-76.66,159.34
-76.71,158.78
-76.7,159.4
-76.82,158.18
-76.69,159.39
-76.77,159.28
-76.7,159.34
-76.7,159.39
-76.71,159.36
-76.72,158.71
34.86,-102.12
-71.5,35.67
-71.5,35.67
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.7,159.36
-76.7,159.37
-76.7,159.4
-76.7,159.4
-76.71,158.78
-76.7,159.4
-71.83,35.5
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.72,159.67
-76.69,159.39
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.69,159.39
-76.77,159.28
-76.73,158.81
-71.5,35.67
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.69,159.39
-76.69,159.39
-71.5,35.67
-76.69,159.39
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
34.86,-102.12
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
9.37,42.42
-71.5,35.67
-76.69,159.08
-71.5,35.67
-76.83,158.22
-76.83,158.23
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.83,158.23
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.69,159.26
-76.68,159.35
-76.69,159.37
-76.68,159.27
-76.83,158.21
-71.5,35.67
44.98,-122.97
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
17.9,101.63
-71.5,35.67
64.02,161.81
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
29.01,-97.71
-76.71,158.78
-76.66,159.33
35.62,8.83
-15.21,35.24
-76.71,158.79
-76.83,158.19
-71.5,35.67
-85.6,-68.45
-85.66,-68.59
-85.68,-67.9
-85.67,-68.19
-71.5,35.67
-85.66,-68.28
-71.5,35.67
-85.66,-68.59
-85.66,-68.44
-71.5,35.67
-85.63,-68.7
-71.5,35.67
-85.67,-68.24
-71.5,35.67
-85.65,-68.62
-71.5,35.67
-85.68,-68.72
-85.66,-68.35
-71.5,35.67
-85.69,-67.71
-71.5,35.67
-71.5,35.67
-71.5,35.67
-85.69,-68.81
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-85.66,-68.65
-85.63,-68.7
-71.5,35.67
-85.63,-68.7
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-85.68,-68.72
-85.62,-68.59
-85.69,-67.78
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-85.63,-68.7
-85.63,-68.7
-85.67,-68.25
-85.67,-68.15
-85.63,-68.7
-85.68,-68.72
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
34.77,-103.55
-71.5,35.67
-29.12,122.08
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
43.72,-116.91
-85.68,-68.72
-85.63,-68.7
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-85.65,-68.62
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-85.17,-94.62
-85.25,-91
-85.16,-94.65
-85.17,-94.62
-85.16,-94.62
-85.16,-94.65
-85.18,-94.16
41.82,-103.37
-71.5,35.67
34.12,-103.57
-71.5,35.67
-71.5,35.67
-71.5,35.67
32.13,-111.13
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-77.73,162.17
-85.17,-94.62
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-85.17,-94.62
-85.17,-94.63
-85.25,-91
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
36.95,-84.9
-30.01,127.71
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-30.65,128.41
-30.08,128.82
-71.5,35.67
34.98,-101.73
-85.25,-91
-85.25,-91
-85.25,-91
-85.15,-94.59
-85.17,-94.62
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-30.02,127.61
-30.8,127.62
-30.8,127.62
-30.02,127.7
42.83,120.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.96,156.92
-77.03,157.03
-77.05,157.26
-76.98,156.92
-77.04,157.25
-77.05,157.18
-77.05,157.2
-76.9,156.99
-77.05,157.24
-77.05,157.28
-77.04,157.24
-77.03,157.25
-76.88,156.93
-76.89,156.96
-76.92,156.94
-77.05,157.28
-30.15,128.08
-30.15,128.08
-30.15,128.08
-30.12,127.87
-76.9,157.03
32.08,121.5
41.71,-72.67
-76.98,156.94
-76.91,156.98
-76.97,156.92
-76.97,156.9
-76.98,156.95
-76.88,156.93
-77.04,157.25
-76.97,156.92
-76.96,156.92
-76.97,156.9
-76.91,157.02
-76.98,156.91
-77.04,157.24
-76.95,156.93
-76.99,156.9
-77.04,157.24
-76.91,157.01
-76.98,156.92
-77.04,157.27
-77.04,157.23
-77.04,157.05
-76.97,156.91
-76.91,156.98
-76.91,157.03
-77.03,157.03
-76.98,156.93
-77.04,157.24
26.8,-105.42
48.67,-97.12
-76.89,156.94
-76.18,157.17
-76.18,157.17
-76.18,157.17
-76.18,157.17
-76.32,157.27
-76.32,157.28
-76.18,157.17
-76.18,157.17
-76.29,157.32
-76.18,157.17
-76.29,157.21
-76.18,157.17
-76.3,157.33
-76.29,157.21
-76.3,157.27
-76.29,157.24
22.98,76.05
37.28,-113.78
-76.29,157.21
-76.69,159.39
-76.82,158.21
-76.72,159.67
-76.69,159.39
-76.7,159.4
-76.82,158.21
-76.83,158.22
37.22,-101.68
49.78,35.6
-76.72,158.77
-76.7,159.4
-76.82,158.22
-76.71,158.78
-76.82,158.21
-76.69,159.39
-76.81,158.04
-76.82,158.21
-76.74,159.38
-76.72,158.77
-76.77,159.29
-76.72,158.77
24.23,111.18
-76.72,158.77
-76.7,159.4
39.98,-102.27
-76.82,158.22
-76.82,158.18
-76.81,158.07
-76.69,159.37
-76.82,158.19
-76.82,158.21
-76.82,158.21
-76.69,159.38
-76.7,159.4
-76.82,158.21
-76.82,158.22
-76.72,159.37
26.83,-105.42
-76.82,158.23
-76.69,159.38
-76.69,159.39
-76.72,159.36
-76.82,158.23
-76.69,159.38
-76.82,158.22
-76.7,159.39
-76.82,158.24
-76.7,159.4
-76.82,158.24
-76.82,158.21
-76.82,158.22
-76.82,158.19
-76.82,158.21
-76.72,158.74
-76.71,158.77
-76.71,159.42
-76.82,158.16
-76.74,159.4
-76.72,158.77
-76.77,159.34
-76.69,159.37
-76.82,158.21
-76.77,158.14
-76.69,159.39
-76.71,158.78
-76.76,159.35
-76.82,158.23
-76.82,158.21
-76.82,158.21
27.93,-107.05
-76.7,159.39
-76.72,158.73
33.82,-103.21
-76.28,157.18
38.4,-98.92
-76.28,157.2
-76.32,157.18
-76.3,157.27
-76.29,157.27
-76.31,157.4
-76.28,157.24
39.92,-101.2
38.77,-101.8
-76.28,157.23
-77.63,161
-76.3,157.27
-76.29,157.24
-76.28,157.24
-76.3,157.25
-76.29,157.26
-76.32,157.26
-76.32,157.19
-76.3,157.23
30.31,-86.17
-76.3,157.18
-76.3,157.29
-76.3,157.22
-76.33,157.23
-76.29,157.18
-76.33,157.23
-76.28,157.18
-76.27,157.17
-76.27,157.2
-76.33,157.18
32.72,-100.92
-76.28,157.23
-76.27,157.16
-76.29,157.24
-76.28,157.23
-76.29,157.24
-76.3,157.24
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
39.84,-100.51
-27.56,-56.13
-76.29,157.23
-34.05,145.83
-21.19,55.69
-76.74,159.38
34.53,-108.35
34.22,-103.28
-71.5,35.67
34.13,-103.57
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
29.3,-103.5
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
-71.5,35.67
63.8,149
44.05,-96.59
-71.5,35.67
-71.5,35.67
-71.5,35.67
-76.81,158.14
-71.5,35.67
-76.82,158.13
-76.33,157.21
-76.27,157.21
-76.3,157.32
-76.18,157.17
-76.3,157.2
-76.33,157.23
-76.33,157.23
-76.29,157.32
32.68,-85.57
-76.28,157.23
-76.33,157.22
-76.29,157.2
-71.5,35.67
-76.3,157.18
-76.31,157.31
28.6,26.4
-76.3,157.24
-76.31,157.18
14,28
-76.33,157.19
-76.29,157.28
-76.3,157.23
-76.3,157.28
-76.33,157.2
-71.5,35.67
-76.33,157.23
-76.3,157.23
-76.33,157.18
-76.3,157.19
-76.3,157.24
-76.33,157.2
-76.29,157.24
-76.3,157.18
-76.28,157.29
39.62,-98.7
-76.32,157.19
54.9,62.8
-76.7,159.12
-76.28,157.21
32.5,-102.03
-76.3,157.27
-76.3,157.28
-76.32,157.26
-76.28,157.27
32.4,-101.95
-76.28,157.24
-76.3,157.28
-76.3,157.27
-76.32,157.18
-76.31,157.18
-76.32,157.26
-76.27,157.2
-71.5,35.67
-76.29,157.21
-76.33,157.23
-76.27,157.19
-76.29,157.18
-76.3,157.24
-76.33,157.2
-76.27,157.19
-76.27,157.2
-76.29,157.15
-76.33,157.19
-76.29,157.25
-76.32,157.19
-76.33,157.2
-76.3,157.27
-76.32,157.18
-76.29,157.23
-76.33,157.22
-76.3,157.23
-76.31,157.2
-76.29,157.25
-76.18,157.17
-71.83,35.5
-76.3,157.24
-76.29,157.19
-71.5,35.67
-76.3,157.29
-76.33,157.2
-76.32,157.26
-76.28,157.22
-76.33,157.19
-76.33,157.23
-76.3,157.17
-76.31,157.27
-76.32,157.18
-76.29,157.21
35.8,-84.1
-71.5,35.67
32.92,105.91
39.77,-99.92
28.22,70.2
-76.27,157.16
-71.5,35.67
-71.5,35.67
-76.3,157.27
-76.33,157.2
-76.28,157.22
-76.28,157.2
-76.27,157.18
-76.32,157.26
-76.3,157.27
-76.33,157.26
-76.33,157.23
-76.3,157.28
-76.32,157.26
-76.3,157.29
-76.32,157.18
-76.3,157.18
-76.29,157.24
-76.32,157.26
-76.29,157.19
-76.3,157.24
-76.29,157.18
-76.3,157.33
-76.29,157.23
-76.29,157.31
-76.32,157.18
-76.33,157.22
-76.29,157.19
-76.31,157.31
-76.34,157.11
-76.29,157.25
-76.29,157.27
-76.31,157.2
-76.31,157.31
-76.28,157.25
-76.28,157.27
-76.29,157.2
-76.3,157.23
-76.7,159.4
-76.81,158.12
-76.71,158.8
-76.77,158.16
-76.72,159.67
-76.99,156.88
-77.04,157.15
-76.97,156.91
-76.96,156.91
-77.04,157.06
-76.32,157.2
-76.96,156.91
-77.05,157.08
-76.28,157.24
54.5,52.8
-76.29,157.24
-76.33,157.2
-76.3,157.23
-76.27,157.2
-76.28,157.2
-76.32,157.25
-76.27,157.16
-76.99,156.87
-76.33,157.16
-76.3,157.18
-76.3,157.2
-76.31,157.2
-76.31,157.18
-76.29,157.19
-76.29,157.31
-76.3,157.19
-76.31,157.17
-76.31,157.3
-76.3,157.27
-76.28,157.24
-76.29,157.28
-76.29,157.23
26.75,-105.25
-76.3,157.31
-76.29,157.22
-76.29,157.23
-76.31,157.31
-76.28,157.21
-76.3,157.27
-76.31,157.22
-76.29,157.24
-76.27,157.2
-32.12,141.08
-71.5,35.67
-76.3,157.24
-76.32,157.26
-76.3,157.24
-76.31,157.19
-76.29,157.23
-76.28,157.22
34.01,-103.6
-76.29,157.24
-76.32,157.26
-76.28,157.24
-76.28,157.22
-76.33,157.2
-76.29,157.24
-76.3,157.28
-71.5,35.67
-76.3,157.27
-76.27,157.2
-76.28,157.23
-76.3,157.22
-76.3,157.24
-76.28,157.25
-76.33,157.23
-76.29,157.25
-76.28,157.25
-76.3,157.16
-76.31,157.16
-76.31,157.19
-76.29,157.22
-76.32,157.26
-76.28,157.25
41.2,-103.68
12.85,11.03
32.1,-81.87
41.2,-103.68
34.15,-104.02
45.82,125.92
-76.28,157.18
45.93,-102.18
-31.18,126.42
34.22,-103.92
