,year,id,recclass,mass (g),fall,reclat,reclong,GeoLocation
41639,1979,28327,E3,1.25,Found,-71.5,35.67,"-71.5, 35.67"
41640,1979,28328,E3,3.24,Found,-71.5,35.67,"-71.5, 35.67"
41641,1979,28329,E3,2.69,Found,-71.5,35.67,"-71.5, 35.67"
41642,1979,28330,E3,2.07,Found,-71.5,35.67,"-71.5, 35.67"
41643,1979,28331,E3,2.15,Found,-71.5,35.67,"-71.5, 35.67"
39531,1979,25574,H5,1.58,Found,-71.5,35.67,"-71.5, 35.67"
41645,1979,28333,E3,1.28,Found,-71.5,35.67,"-71.5, 35.67"
41646,1979,28334,E3,1.62,Found,-71.5,35.67,"-71.5, 35.67"
41647,1979,28335,E3,0.97,Found,-71.5,35.67,"-71.5, 35.67"
41648,1979,28336,E3,1.66,Found,-71.5,35.67,"-71.5, 35.67"
41649,1979,28337,E3,1.18,Found,-71.5,35.67,"-71.5, 35.67"
41650,1979,28338,E3,1.3,Found,-71.5,35.67,"-71.5, 35.67"
41651,1979,28339,E3,1.62,Found,-71.5,35.67,"-71.5, 35.67"
41652,1979,28340,E3,1.77,Found,-71.5,35.67,"-71.5, 35.67"
41653,1979,28341,E3,1.29,Found,-71.5,35.67,"-71.5, 35.67"
41654,1979,28342,E3,1.45,Found,-71.5,35.67,"-71.5, 35.67"
41655,1979,28343,E3,1.55,Found,-71.5,35.67,"-71.5, 35.67"
41656,1979,28344,E3,2.16,Found,-71.5,35.67,"-71.5, 35.67"
41657,1979,28345,E3,0.68,Found,-71.5,35.67,"-71.5, 35.67"
41636,1979,28324,E3,3.31,Found,-71.5,35.67,"-71.5, 35.67"
41658,1979,28346,E3,2.44,Found,-71.5,35.67,"-71.5, 35.67"
41635,1979,28323,E3,1.91,Found,-71.5,35.67,"-71.5, 35.67"
41633,1979,28321,E3,2.25,Found,-71.5,35.67,"-71.5, 35.67"
41612,1979,28300,H6,6.73,Found,-71.5,35.67,"-71.5, 35.67"
41613,1979,28301,H6,5.98,Found,-71.5,35.67,"-71.5, 35.67"
41614,1979,28302,H6,3.32,Found,-71.5,35.67,"-71.5, 35.67"
41615,1979,28303,H6,1.98,Found,-71.5,35.67,"-71.5, 35.67"
41616,1979,28304,H3,1.13,Found,-71.5,35.67,"-71.5, 35.67"
41617,1979,28305,H6,0.29,Found,-71.5,35.67,"-71.5, 35.67"
41618,1979,28306,H6,0.35,Found,-71.5,35.67,"-71.5, 35.67"
41619,1979,28307,H4,107.28,Found,-71.5,35.67,"-71.5, 35.67"
41620,1979,28308,EH3,36.35,Found,-71.5,35.67,"-71.5, 35.67"
41621,1979,28309,E3,17.66,Found,-71.5,35.67,"-71.5, 35.67"
41622,1979,28310,E3,9.53,Found,-71.5,35.67,"-71.5, 35.67"
41623,1979,28311,E3,5.89,Found,-71.5,35.67,"-71.5, 35.67"
41624,1979,28312,E3,5.86,Found,-71.5,35.67,"-71.5, 35.67"
41625,1979,28313,E3,4.42,Found,-71.5,35.67,"-71.5, 35.67"
41626,1979,28314,E3,5.16,Found,-71.5,35.67,"-71.5, 35.67"
41627,1979,28315,E3,3.65,Found,-71.5,35.67,"-71.5, 35.67"
41628,1979,28316,E3,2.65,Found,-71.5,35.67,"-71.5, 35.67"
41629,1979,28317,E3,2.68,Found,-71.5,35.67,"-71.5, 35.67"
41630,1979,28318,E3,2.57,Found,-71.5,35.67,"-71.5, 35.67"
41631,1979,28319,E3,2.32,Found,-71.5,35.67,"-71.5, 35.67"
41632,1979,28320,E3,2.51,Found,-71.5,35.67,"-71.5, 35.67"
41634,1979,28322,E3,2.04,Found,-71.5,35.67,"-71.5, 35.67"
41807,1979,28495,E3,0.46,Found,-71.5,35.67,"-71.5, 35.67"
41659,1979,28347,E3,1.94,Found,-71.5,35.67,"-71.5, 35.67"
41661,1979,28349,E3,2.0,Found,-71.5,35.67,"-71.5, 35.67"
41687,1979,28375,E3,0.99,Found,-71.5,35.67,"-71.5, 35.67"
41688,1979,28376,E3,0.73,Found,-71.5,35.67,"-71.5, 35.67"
41689,1979,28377,E3,0.85,Found,-71.5,35.67,"-71.5, 35.67"
41690,1979,28378,E3,1.19,Found,-71.5,35.67,"-71.5, 35.67"
41691,1979,28379,E3,0.99,Found,-71.5,35.67,"-71.5, 35.67"
41692,1979,28380,E3,0.91,Found,-71.5,35.67,"-71.5, 35.67"
41693,1979,28381,E3,0.89,Found,-71.5,35.67,"-71.5, 35.67"
41694,1979,28382,E3,0.69,Found,-71.5,35.67,"-71.5, 35.67"
41695,1979,28383,E3,1.34,Found,-71.5,35.67,"-71.5, 35.67"
41696,1979,28384,E3,0.93,Found,-71.5,35.67,"-71.5, 35.67"
41697,1979,28385,E3,1.2,Found,-71.5,35.67,"-71.5, 35.67"
41698,1979,28386,E3,0.96,Found,-71.5,35.67,"-71.5, 35.67"
41699,1979,28387,E3,0.82,Found,-71.5,35.67,"-71.5, 35.67"
41700,1979,28388,E3,1.17,Found,-71.5,35.67,"-71.5, 35.67"
41701,1979,28389,E3,0.72,Found,-71.5,35.67,"-71.5, 35.67"
41702,1979,28390,E3,0.85,Found,-71.5,35.67,"-71.5, 35.67"
41703,1979,28391,E3,0.85,Found,-71.5,35.67,"-71.5, 35.67"
41704,1979,28392,E3,0.78,Found,-71.5,35.67,"-71.5, 35.67"
41705,1979,28393,E3,1.0,Found,-71.5,35.67,"-71.5, 35.67"
41706,1979,28394,E3,0.94,Found,-71.5,35.67,"-71.5, 35.67"
41707,1979,28395,E3,0.97,Found,-71.5,35.67,"-71.5, 35.67"
41686,1979,28374,E3,1.03,Found,-71.5,35.67,"-71.5, 35.67"
41660,1979,28348,E3,1.58,Found,-71.5,35.67,"-71.5, 35.67"
41685,1979,28373,E3,1.14,Found,-71.5,35.67,"-71.5, 35.67"
41683,1979,28371,E3,1.46,Found,-71.5,35.67,"-71.5, 35.67"
41662,1979,28350,E3,1.1,Found,-71.5,35.67,"-71.5, 35.67"
41663,1979,28351,E3,1.61,Found,-71.5,35.67,"-71.5, 35.67"
41664,1979,28352,E3,1.62,Found,-71.5,35.67,"-71.5, 35.67"
41665,1979,28353,E3,0.94,Found,-71.5,35.67,"-71.5, 35.67"
41666,1979,28354,E3,1.23,Found,-71.5,35.67,"-71.5, 35.67"
41667,1979,28355,E3,1.35,Found,-71.5,35.67,"-71.5, 35.67"
41668,1979,28356,E3,1.07,Found,-71.5,35.67,"-71.5, 35.67"
41669,1979,28357,E3,1.34,Found,-71.5,35.67,"-71.5, 35.67"
41670,1979,28358,E3,1.86,Found,-71.5,35.67,"-71.5, 35.67"
41671,1979,28359,E3,0.97,Found,-71.5,35.67,"-71.5, 35.67"
41672,1979,28360,E3,1.67,Found,-71.5,35.67,"-71.5, 35.67"
41673,1979,28361,E3,1.52,Found,-71.5,35.67,"-71.5, 35.67"
41674,1979,28362,E3,1.31,Found,-71.5,35.67,"-71.5, 35.67"
41675,1979,28363,E3,0.8,Found,-71.5,35.67,"-71.5, 35.67"
41676,1979,28364,E3,1.44,Found,-71.5,35.67,"-71.5, 35.67"
41677,1979,28365,E3,1.1,Found,-71.5,35.67,"-71.5, 35.67"
41678,1979,28366,E3,1.36,Found,-71.5,35.67,"-71.5, 35.67"
41679,1979,28367,E3,1.55,Found,-71.5,35.67,"-71.5, 35.67"
41680,1979,28368,E3,1.17,Found,-71.5,35.67,"-71.5, 35.67"
41681,1979,28369,E3,0.87,Found,-71.5,35.67,"-71.5, 35.67"
41682,1979,28370,E3,1.36,Found,-71.5,35.67,"-71.5, 35.67"
41684,1979,28372,E3,1.09,Found,-71.5,35.67,"-71.5, 35.67"
41611,1979,28299,H6,8.8,Found,-71.5,35.67,"-71.5, 35.67"
41808,1979,28496,E3,0.4,Found,-71.5,35.67,"-71.5, 35.67"
41810,1979,28498,E3,0.45,Found,-71.5,35.67,"-71.5, 35.67"
41936,1979,28626,C,2.23,Found,-71.5,35.67,"-71.5, 35.67"
41937,1979,28627,H4,253.27,Found,-71.5,35.67,"-71.5, 35.67"
41938,1979,28628,H5,18.78,Found,-71.5,35.67,"-71.5, 35.67"
41939,1979,28629,L6,28.38,Found,-71.5,35.67,"-71.5, 35.67"
41940,1979,28630,H6,4.37,Found,-71.5,35.67,"-71.5, 35.67"
41941,1979,28631,H4,1.11,Found,-71.5,35.67,"-71.5, 35.67"
41942,1979,28632,H6,817.0,Found,-71.5,35.67,"-71.5, 35.67"
41943,1979,28633,H4,397.56,Found,-71.5,35.67,"-71.5, 35.67"
41944,1979,28634,L6,311.26,Found,-71.5,35.67,"-71.5, 35.67"
41935,1979,28625,H5,4.39,Found,-71.5,35.67,"-71.5, 35.67"
41945,1979,28635,H5,24.8,Found,-71.5,35.67,"-71.5, 35.67"
41947,1979,28637,H5,32.97,Found,-71.5,35.67,"-71.5, 35.67"
41948,1979,28638,H5,16.15,Found,-71.5,35.67,"-71.5, 35.67"
41949,1979,28639,H5,16.5,Found,-71.5,35.67,"-71.5, 35.67"
41950,1979,28640,L6,13.79,Found,-71.5,35.67,"-71.5, 35.67"
41951,1979,28641,H4,13.76,Found,-71.5,35.67,"-71.5, 35.67"
41952,1979,28642,H4,12.47,Found,-71.5,35.67,"-71.5, 35.67"
41953,1979,28643,H4,10.11,Found,-71.5,35.67,"-71.5, 35.67"
41954,1979,28644,H4,5.57,Found,-71.5,35.67,"-71.5, 35.67"
41955,1979,28645,L6,5.47,Found,-71.5,35.67,"-71.5, 35.67"
41946,1979,28636,H5,80.7,Found,-71.5,35.67,"-71.5, 35.67"
41934,1979,28624,H3.8,52.61,Found,-71.5,35.67,"-71.5, 35.67"
41933,1979,28623,Lunar (bas/anor),8.66,Found,-71.5,35.67,"-71.5, 35.67"
41932,1979,28622,H6,97.22,Found,-71.5,35.67,"-71.5, 35.67"
41911,1979,28601,Howardite,4.61,Found,-71.5,35.67,"-71.5, 35.67"
41912,1979,28602,H4,216.7,Found,-71.5,35.67,"-71.5, 35.67"
41913,1979,28603,H5,38.19,Found,-71.5,35.67,"-71.5, 35.67"
41914,1979,28604,L3.8,29.88,Found,-71.5,35.67,"-71.5, 35.67"
41915,1979,28605,H5,9.08,Found,-71.5,35.67,"-71.5, 35.67"
41916,1979,28606,H6,11.0,Found,-71.5,35.67,"-71.5, 35.67"
41917,1979,28607,EL6,8.19,Found,-71.5,35.67,"-71.5, 35.67"
41918,1979,28608,H6,8.01,Found,-71.5,35.67,"-71.5, 35.67"
41919,1979,28609,H3,7.4,Found,-71.5,35.67,"-71.5, 35.67"
41920,1979,28610,CR2,3.67,Found,-71.5,35.67,"-71.5, 35.67"
41921,1979,28611,H6,2.89,Found,-71.5,35.67,"-71.5, 35.67"
41922,1979,28612,H4,2.03,Found,-71.5,35.67,"-71.5, 35.67"
41923,1979,28613,L4,4.29,Found,-71.5,35.67,"-71.5, 35.67"
41924,1979,28614,L4,4.09,Found,-71.5,35.67,"-71.5, 35.67"
41925,1979,28615,LL4,0.87,Found,-71.5,35.67,"-71.5, 35.67"
41926,1979,28616,H4,0.79,Found,-71.5,35.67,"-71.5, 35.67"
41927,1979,28617,H3,2.1,Found,-71.5,35.67,"-71.5, 35.67"
41928,1979,28618,LL5,2.0,Found,-71.5,35.67,"-71.5, 35.67"
41929,1979,28619,H4,0.49,Found,-71.5,35.67,"-71.5, 35.67"
41930,1979,28620,L6,0.88,Found,-71.5,35.67,"-71.5, 35.67"
41931,1979,28621,L3.5,95.96,Found,-71.5,35.67,"-71.5, 35.67"
41956,1979,28646,L6,7.06,Found,-71.5,35.67,"-71.5, 35.67"
41957,1979,28647,H4,4.04,Found,-71.5,35.67,"-71.5, 35.67"
41958,1979,28648,H6,8.68,Found,-71.5,35.67,"-71.5, 35.67"
41959,1979,28649,H5,3.8,Found,-71.5,35.67,"-71.5, 35.67"
41985,1979,28677,H4,3.44,Found,-71.5,35.67,"-71.5, 35.67"
41986,1979,28678,H4,9.9,Found,-71.5,35.67,"-71.5, 35.67"
41987,1979,28679,L6,1.19,Found,-71.5,35.67,"-71.5, 35.67"
41988,1979,28680,Eucrite-pmict,4.41,Found,-71.5,35.67,"-71.5, 35.67"
41989,1979,28681,H4,7.49,Found,-71.5,35.67,"-71.5, 35.67"
41990,1979,28682,H5,36.62,Found,-71.5,35.67,"-71.5, 35.67"
41991,1979,28683,H5,5.9,Found,-71.5,35.67,"-71.5, 35.67"
41992,1979,28684,H5,1.92,Found,-71.5,35.67,"-71.5, 35.67"
41993,1979,28685,LL6,0.86,Found,-71.5,35.67,"-71.5, 35.67"
41994,1979,28686,H6,302.2,Found,-71.5,35.67,"-71.5, 35.67"
41995,1979,28687,H4,11.89,Found,-71.5,35.67,"-71.5, 35.67"
41996,1979,28688,H4,14.97,Found,-71.5,35.67,"-71.5, 35.67"
41997,1979,28689,H4,10.91,Found,-71.5,35.67,"-71.5, 35.67"
41998,1979,28690,H4,10.43,Found,-71.5,35.67,"-71.5, 35.67"
41999,1979,28691,H4,10.11,Found,-71.5,35.67,"-71.5, 35.67"
42000,1979,28692,H4,8.12,Found,-71.5,35.67,"-71.5, 35.67"
42001,1979,28693,H4,8.49,Found,-71.5,35.67,"-71.5, 35.67"
42002,1979,28694,H4,8.85,Found,-71.5,35.67,"-71.5, 35.67"
42003,1979,28695,H4,9.3,Found,-71.5,35.67,"-71.5, 35.67"
42004,1979,28696,H4,7.12,Found,-71.5,35.67,"-71.5, 35.67"
42005,1979,28697,H4,9.12,Found,-71.5,35.67,"-71.5, 35.67"
41984,1979,28676,H3,2.42,Found,-71.5,35.67,"-71.5, 35.67"
41910,1979,28600,H5,844.0,Found,-71.5,35.67,"-71.5, 35.67"
41983,1979,28675,H3,7.43,Found,-71.5,35.67,"-71.5, 35.67"
41981,1979,28673,H5,1.97,Found,-71.5,35.67,"-71.5, 35.67"
41960,1979,28650,H4,5.23,Found,-71.5,35.67,"-71.5, 35.67"
41961,1979,28651,H6,5.51,Found,-71.5,35.67,"-71.5, 35.67"
41962,1979,28652,H3,3.51,Found,-71.5,35.67,"-71.5, 35.67"
41963,1979,28653,H5,2.72,Found,-71.5,35.67,"-71.5, 35.67"
41964,1979,28654,H4,2.0,Found,-71.5,35.67,"-71.5, 35.67"
41965,1979,28655,H4,2.14,Found,-71.5,35.67,"-71.5, 35.67"
41966,1979,28656,L3,1.81,Found,-71.5,35.67,"-71.5, 35.67"
41967,1979,28657,H6,1.36,Found,-71.5,35.67,"-71.5, 35.67"
41968,1979,28658,H4,1.59,Found,-71.5,35.67,"-71.5, 35.67"
41969,1979,28659,H3,1.71,Found,-71.5,35.67,"-71.5, 35.67"
41970,1979,28660,L6,1.18,Found,-71.5,35.67,"-71.5, 35.67"
41971,1979,28661,H4,1.38,Found,-71.5,35.67,"-71.5, 35.67"
41972,1979,28662,H6,0.71,Found,-71.5,35.67,"-71.5, 35.67"
41973,1979,28663,H5,0.7,Found,-71.5,35.67,"-71.5, 35.67"
41974,1979,28666,L6,0.95,Found,-71.5,35.67,"-71.5, 35.67"
41975,1979,28667,L6,0.77,Found,-71.5,35.67,"-71.5, 35.67"
41976,1979,28668,LL6,2.8,Found,-71.5,35.67,"-71.5, 35.67"
41977,1979,28669,LL6,2.49,Found,-71.5,35.67,"-71.5, 35.67"
41978,1979,28670,CM2,379.73,Found,-71.5,35.67,"-71.5, 35.67"
41979,1979,28671,LL6,10.58,Found,-71.5,35.67,"-71.5, 35.67"
41980,1979,28672,H4,25.47,Found,-71.5,35.67,"-71.5, 35.67"
41982,1979,28674,L3.9,41.69,Found,-71.5,35.67,"-71.5, 35.67"
41909,1979,28599,H4,1.51,Found,-71.5,35.67,"-71.5, 35.67"
41908,1979,28598,LL4,292.26,Found,-71.5,35.67,"-71.5, 35.67"
41907,1979,28597,H4,0.62,Found,-71.5,35.67,"-71.5, 35.67"
41836,1979,28526,H4,4.48,Found,-71.5,35.67,"-71.5, 35.67"
41837,1979,28527,H4,1.63,Found,-71.5,35.67,"-71.5, 35.67"
41838,1979,28528,H4,1.85,Found,-71.5,35.67,"-71.5, 35.67"
41839,1979,28529,H4,1.11,Found,-71.5,35.67,"-71.5, 35.67"
41840,1979,28530,H4,0.89,Found,-71.5,35.67,"-71.5, 35.67"
41841,1979,28531,H4,2.04,Found,-71.5,35.67,"-71.5, 35.67"
41842,1979,28532,H4,3.09,Found,-71.5,35.67,"-71.5, 35.67"
41843,1979,28533,H4,8.19,Found,-71.5,35.67,"-71.5, 35.67"
41844,1979,28534,H6,5.26,Found,-71.5,35.67,"-71.5, 35.67"
41845,1979,28535,H6,81.43,Found,-71.5,35.67,"-71.5, 35.67"
41846,1979,28536,H4,25.18,Found,-71.5,35.67,"-71.5, 35.67"
41847,1979,28537,H6,134.98,Found,-71.5,35.67,"-71.5, 35.67"
41848,1979,28538,L6,3.13,Found,-71.5,35.67,"-71.5, 35.67"
41849,1979,28539,H4,46.33,Found,-71.5,35.67,"-71.5, 35.67"
41850,1979,28540,H4,393.94,Found,-71.5,35.67,"-71.5, 35.67"
41851,1979,28541,Howardite,23.65,Found,-71.5,35.67,"-71.5, 35.67"
41852,1979,28542,H5,159.32,Found,-71.5,35.67,"-71.5, 35.67"
41853,1979,28543,H5,25.97,Found,-71.5,35.67,"-71.5, 35.67"
41854,1979,28544,L6,3.6,Found,-71.5,35.67,"-71.5, 35.67"
41855,1979,28545,H4,2.3,Found,-71.5,35.67,"-71.5, 35.67"
41856,1979,28546,H4,2.51,Found,-71.5,35.67,"-71.5, 35.67"
41835,1979,28525,H4,5.86,Found,-71.5,35.67,"-71.5, 35.67"
41857,1979,28547,H5,3.35,Found,-71.5,35.67,"-71.5, 35.67"
41834,1979,28524,H4,317.31,Found,-71.5,35.67,"-71.5, 35.67"
41832,1979,28522,Howardite,12.59,Found,-71.5,35.67,"-71.5, 35.67"
41811,1979,28499,E3,0.51,Found,-71.5,35.67,"-71.5, 35.67"
41812,1979,28500,E3,0.42,Found,-71.5,35.67,"-71.5, 35.67"
41813,1979,28501,E3,0.45,Found,-71.5,35.67,"-71.5, 35.67"
41814,1979,28502,E3,0.47,Found,-71.5,35.67,"-71.5, 35.67"
41815,1979,28503,E3,0.39,Found,-71.5,35.67,"-71.5, 35.67"
41816,1979,28504,E3,0.56,Found,-71.5,35.67,"-71.5, 35.67"
41817,1979,28505,E3,0.44,Found,-71.5,35.67,"-71.5, 35.67"
41818,1979,28506,E3,0.52,Found,-71.5,35.67,"-71.5, 35.67"
41819,1979,28507,E3,0.41,Found,-71.5,35.67,"-71.5, 35.67"
41820,1979,28508,E3,0.3,Found,-71.5,35.67,"-71.5, 35.67"
41821,1979,28509,E3,0.34,Found,-71.5,35.67,"-71.5, 35.67"
41822,1979,28510,E3,37.55,Found,-71.5,35.67,"-71.5, 35.67"
41823,1979,28513,Eucrite-pmict,123.88,Found,-71.5,35.67,"-71.5, 35.67"
41824,1979,28514,H5,4.67,Found,-71.5,35.67,"-71.5, 35.67"
41825,1979,28515,L6,5.68,Found,-71.5,35.67,"-71.5, 35.67"
41826,1979,28516,H5,536.26,Found,-71.5,35.67,"-71.5, 35.67"
41827,1979,28517,L6,3859.0,Found,-71.5,35.67,"-71.5, 35.67"
41828,1979,28518,Lunar (gabbro),6.07,Found,-71.5,35.67,"-71.5, 35.67"
41829,1979,28519,H4,38.09,Found,-71.5,35.67,"-71.5, 35.67"
41830,1979,28520,L6,7.74,Found,-71.5,35.67,"-71.5, 35.67"
41831,1979,28521,L6,13.18,Found,-71.5,35.67,"-71.5, 35.67"
41833,1979,28523,H6,30.01,Found,-71.5,35.67,"-71.5, 35.67"
41809,1979,28497,E3,0.43,Found,-71.5,35.67,"-71.5, 35.67"
41858,1979,28548,H5,3.42,Found,-71.5,35.67,"-71.5, 35.67"
41860,1979,28550,L6,1087.0,Found,-71.5,35.67,"-71.5, 35.67"
41886,1979,28576,H5,4.91,Found,-71.5,35.67,"-71.5, 35.67"
41887,1979,28577,L6,12.14,Found,-71.5,35.67,"-71.5, 35.67"
41888,1979,28578,L5,31.36,Found,-71.5,35.67,"-71.5, 35.67"
41889,1979,28579,H4,86.99,Found,-71.5,35.67,"-71.5, 35.67"
41890,1979,28580,H4,7.57,Found,-71.5,35.67,"-71.5, 35.67"
41891,1979,28581,H4,61.91,Found,-71.5,35.67,"-71.5, 35.67"
41892,1979,28582,H6,21.31,Found,-71.5,35.67,"-71.5, 35.67"
41893,1979,28583,H6,16.14,Found,-71.5,35.67,"-71.5, 35.67"
41894,1979,28584,L6,18126.0,Found,-71.5,35.67,"-71.5, 35.67"
41895,1979,28585,L6,33.31,Found,-71.5,35.67,"-71.5, 35.67"
41896,1979,28586,L6,22.71,Found,-71.5,35.67,"-71.5, 35.67"
41897,1979,28587,L6,19.78,Found,-71.5,35.67,"-71.5, 35.67"
41898,1979,28588,H4,247.75,Found,-71.5,35.67,"-71.5, 35.67"
41899,1979,28589,H4,54.45,Found,-71.5,35.67,"-71.5, 35.67"
41900,1979,28590,L6,938.0,Found,-71.5,35.67,"-71.5, 35.67"
41901,1979,28591,L6,222.76,Found,-71.5,35.67,"-71.5, 35.67"
41902,1979,28592,H5,182.7,Found,-71.5,35.67,"-71.5, 35.67"
41903,1979,28593,L4,9.9,Found,-71.5,35.67,"-71.5, 35.67"
41904,1979,28594,L6,9.11,Found,-71.5,35.67,"-71.5, 35.67"
41905,1979,28595,E4,6.85,Found,-71.5,35.67,"-71.5, 35.67"
41906,1979,28596,L6,2.15,Found,-71.5,35.67,"-71.5, 35.67"
41885,1979,28575,L6,19.6,Found,-71.5,35.67,"-71.5, 35.67"
41859,1979,28549,H4,3.56,Found,-71.5,35.67,"-71.5, 35.67"
41884,1979,28574,EH6-an,75.61,Found,-71.5,35.67,"-71.5, 35.67"
41882,1979,28572,LL6,4.81,Found,-71.5,35.67,"-71.5, 35.67"
41861,1979,28551,H4,97.01,Found,-71.5,35.67,"-71.5, 35.67"
41862,1979,28552,H4,274.27,Found,-71.5,35.67,"-71.5, 35.67"
41863,1979,28553,H6,56.58,Found,-71.5,35.67,"-71.5, 35.67"
41864,1979,28554,H6,39.69,Found,-71.5,35.67,"-71.5, 35.67"
41865,1979,28555,H5,2.99,Found,-71.5,35.67,"-71.5, 35.67"
41866,1979,28556,H6,3.87,Found,-71.5,35.67,"-71.5, 35.67"
41867,1979,28557,H5,2.2,Found,-71.5,35.67,"-71.5, 35.67"
41868,1979,28558,L6,14.03,Found,-71.5,35.67,"-71.5, 35.67"
41869,1979,28559,L6,53.44,Found,-71.5,35.67,"-71.5, 35.67"
41870,1979,28560,L6,43.46,Found,-71.5,35.67,"-71.5, 35.67"
41871,1979,28561,L6,27.14,Found,-71.5,35.67,"-71.5, 35.67"
41872,1979,28562,L6,13.98,Found,-71.5,35.67,"-71.5, 35.67"
41873,1979,28563,LL5,3111.0,Found,-71.5,35.67,"-71.5, 35.67"
41874,1979,28564,L6,24.33,Found,-71.5,35.67,"-71.5, 35.67"
41875,1979,28565,L6,3.91,Found,-71.5,35.67,"-71.5, 35.67"
41876,1979,28566,L6,0.58,Found,-71.5,35.67,"-71.5, 35.67"
41877,1979,28567,H4,4.6,Found,-71.5,35.67,"-71.5, 35.67"
41878,1979,28568,L6,326.13,Found,-71.5,35.67,"-71.5, 35.67"
41879,1979,28569,L6,354.27,Found,-71.5,35.67,"-71.5, 35.67"
41880,1979,28570,H5,14.71,Found,-71.5,35.67,"-71.5, 35.67"
41881,1979,28571,H5,545.97,Found,-71.5,35.67,"-71.5, 35.67"
41883,1979,28573,L6,179.35,Found,-71.5,35.67,"-71.5, 35.67"
41610,1979,28298,H4,13.95,Found,-71.5,35.67,"-71.5, 35.67"
41609,1979,28297,H6,39.57,Found,-71.5,35.67,"-71.5, 35.67"
41608,1979,28296,H3.2-an,233.4,Found,-71.5,35.67,"-71.5, 35.67"
41336,1979,27965,H4/5,3.02,Found,-71.5,35.67,"-71.5, 35.67"
41337,1979,27966,H4/5,3.04,Found,-71.5,35.67,"-71.5, 35.67"
41338,1979,27967,H4/5,2.45,Found,-71.5,35.67,"-71.5, 35.67"
41339,1979,27968,H4/5,2.72,Found,-71.5,35.67,"-71.5, 35.67"
41340,1979,27969,H4/5,1.82,Found,-71.5,35.67,"-71.5, 35.67"
41341,1979,27970,H4/5,2.07,Found,-71.5,35.67,"-71.5, 35.67"
41342,1979,27971,H4/5,1.44,Found,-71.5,35.67,"-71.5, 35.67"
41343,1979,27972,H4/5,2.29,Found,-71.5,35.67,"-71.5, 35.67"
41344,1979,27973,H4/5,2.57,Found,-71.5,35.67,"-71.5, 35.67"
41335,1979,27964,H4/5,3.19,Found,-71.5,35.67,"-71.5, 35.67"
41345,1979,27974,H4/5,1.94,Found,-71.5,35.67,"-71.5, 35.67"
41347,1979,27976,H4/5,2.83,Found,-71.5,35.67,"-71.5, 35.67"
41348,1979,27977,H4/5,3.12,Found,-71.5,35.67,"-71.5, 35.67"
41349,1979,27978,H4/5,2.3,Found,-71.5,35.67,"-71.5, 35.67"
41350,1979,27979,H4/5,2.32,Found,-71.5,35.67,"-71.5, 35.67"
41351,1979,27980,H4/5,2.0,Found,-71.5,35.67,"-71.5, 35.67"
41352,1979,27981,H4/5,1.87,Found,-71.5,35.67,"-71.5, 35.67"
41353,1979,27982,H4/5,1.73,Found,-71.5,35.67,"-71.5, 35.67"
41354,1979,27983,H4/5,1.72,Found,-71.5,35.67,"-71.5, 35.67"
41355,1979,27984,H4/5,1.37,Found,-71.5,35.67,"-71.5, 35.67"
41346,1979,27975,H4/5,1.81,Found,-71.5,35.67,"-71.5, 35.67"
41334,1979,27963,H4/5,2.98,Found,-71.5,35.67,"-71.5, 35.67"
41333,1979,27962,H4/5,2.27,Found,-71.5,35.67,"-71.5, 35.67"
41332,1979,27961,H4/5,2.25,Found,-71.5,35.67,"-71.5, 35.67"
41311,1979,27940,H4/5,2.6,Found,-71.5,35.67,"-71.5, 35.67"
41312,1979,27941,H4/5,3.07,Found,-71.5,35.67,"-71.5, 35.67"
41313,1979,27942,H4/5,4.67,Found,-71.5,35.67,"-71.5, 35.67"
41314,1979,27943,H4/5,3.68,Found,-71.5,35.67,"-71.5, 35.67"
41315,1979,27944,H4/5,3.61,Found,-71.5,35.67,"-71.5, 35.67"
41316,1979,27945,H4/5,3.51,Found,-71.5,35.67,"-71.5, 35.67"
41317,1979,27946,H4/5,4.11,Found,-71.5,35.67,"-71.5, 35.67"
41318,1979,27947,H4/5,3.72,Found,-71.5,35.67,"-71.5, 35.67"
41319,1979,27948,H4/5,3.84,Found,-71.5,35.67,"-71.5, 35.67"
41320,1979,27949,H4/5,3.81,Found,-71.5,35.67,"-71.5, 35.67"
41321,1979,27950,H4/5,3.76,Found,-71.5,35.67,"-71.5, 35.67"
41322,1979,27951,H4/5,3.04,Found,-71.5,35.67,"-71.5, 35.67"
41323,1979,27952,H4/5,2.83,Found,-71.5,35.67,"-71.5, 35.67"
41324,1979,27953,H4/5,2.69,Found,-71.5,35.67,"-71.5, 35.67"
41325,1979,27954,H4/5,2.68,Found,-71.5,35.67,"-71.5, 35.67"
41326,1979,27955,H4/5,2.7,Found,-71.5,35.67,"-71.5, 35.67"
41327,1979,27956,H4/5,2.95,Found,-71.5,35.67,"-71.5, 35.67"
41328,1979,27957,H4/5,2.5,Found,-71.5,35.67,"-71.5, 35.67"
41329,1979,27958,H4/5,2.95,Found,-71.5,35.67,"-71.5, 35.67"
41330,1979,27959,H4/5,2.78,Found,-71.5,35.67,"-71.5, 35.67"
41331,1979,27960,H4/5,2.93,Found,-71.5,35.67,"-71.5, 35.67"
41356,1979,27985,H4/5,1.25,Found,-71.5,35.67,"-71.5, 35.67"
41357,1979,27986,H4/5,1.19,Found,-71.5,35.67,"-71.5, 35.67"
41358,1979,27987,H4/5,1.37,Found,-71.5,35.67,"-71.5, 35.67"
