,year,id,recclass,mass (g),fall,reclat,reclong,GeoLocation
131,1808,5110,LL6,1676.0,Fell,44.87,10.05,"44.87, 10.05"
481,1809,12306,H6,195.0,Fell,55.0,34.0,"55.0, 34.0"
36885,1810,23167,"Iron, IC",825000.0,Found,5.92,-73.0,"5.92, -73.0"
188,1810,5329,H6,27000.0,Fell,47.93,1.57,"47.93, 1.57"
5198,1810,5130,"Pallasite, PMG",823000.0,Found,52.5,30.33,"52.5, 30.33"
647,1810,16737,H5,3520.0,Fell,52.45,-8.33,"52.45, -8.33"
175,1810,5296,OC,1360.0,Fell,36.5,-79.25,"36.5, -79.25"
103,1811,5029,L6,1440.0,Fell,41.68,-3.8,"41.68, -3.8"
503,1811,12370,L6,6000.0,Fell,50.75,33.5,"50.75, 33.5"
818,1811,18902,Stone-uncl,100.0,Fell,13.33,78.95,"13.33, 78.95"
186,1812,5325,L6,31500.0,Fell,46.68,1.05,"46.68, 1.05"
135,1812,5114,H5,500.0,Fell,55.47,35.87,"55.47, 35.87"
288,1812,10049,H6,2250.0,Fell,52.22,11.25,"52.22, 11.25"
1006,1812,24036,H6,1030.0,Fell,43.6,1.4,"43.6, 1.4"
560,1813,14756,Howardite,885.0,Fell,61.2,27.7,"61.2, 27.7"
542,1813,14652,H5,50000.0,Fell,52.57,-8.78,"52.57, -8.78"
180,1814,5314,H6,0.5,Fell,25.37,81.67,"25.37, 81.67"
65,1814,4917,L6,18000.0,Fell,48.6,38.0,"48.6, 38.0"
19739,1814,12763,"Iron, IIIAB",108500.0,Found,49.0,21.0,"49.0, 21.0"
7,1814,392,H5,30000.0,Fell,44.22,0.62,"44.22, 0.62"
355,1814,11464,L6,28.0,Fell,13.78,78.57,"13.78, 78.57"
263,1815,7750,L6,13200.0,Fell,30.3,76.63,"30.3, 76.63"
190,1815,5331,Martian (chassignite),4000.0,Fell,47.72,5.37,"47.72, 5.37"
359,1817,11468,H?,0.2,Fell,35.65,139.33,"35.65, 139.33"
904,1818,23501,H4,8500.0,Fell,41.05,23.57,"41.05, 23.57"
5306,1818,5203,"Iron, ungrouped",16300.0,Found,43.2,-78.8,"43.2, -78.8"
5373,1818,5262,"Iron, IIIAB",58200000.0,Found,76.13,-64.93,"76.13, -64.93"
1093,1818,30379,L6,3867.0,Fell,50.28,27.68,"50.28, 27.68"
933,1818,23645,L4,2750.0,Fell,55.0,35.0,"55.0, 35.0"
5267,1819,5172,"Iron, IIIE",68000.0,Found,42.75,-75.18,"42.75, -75.18"
805,1819,18853,L5,3000.0,Fell,50.93,12.13,"50.93, 12.13"
424,1819,12202,Eucrite-mmict,5000.0,Fell,45.43,-0.45,"45.43, -0.45"
547,1820,14670,H4,5213.0,Fell,56.0,26.43,"56.0, 26.43"
430,1821,12214,Eucrite-mmict,91000.0,Fell,44.72,4.3,"44.72, 4.3"
15943,1822,11444,"Iron, IIIAB",1100.0,Found,35.57,-79.83,"35.57, -79.83"
313,1822,10839,L6,4000.0,Fell,25.95,80.82,"25.95, 80.82"
16509,1822,12025,"Pallasite, PMG",920000.0,Found,-24.2,-68.81,"-24.2, -68.81"
1032,1822,24112,LL5,100.0,Fell,30.33,76.33,"30.33, 76.33"
433,1822,12221,H6,89.0,Fell,27.08,78.33,"27.08, 78.33"
284,1822,10041,H5,277.0,Fell,48.18,6.47,"48.18, 6.47"
702,1823,16984,Eucrite-pmict,2300.0,Fell,44.08,-69.48,"44.08, -69.48"
136,1823,5117,L4,614.0,Fell,51.33,33.88,"51.33, 33.88"
844,1824,22586,CR2,1000.0,Fell,44.77,11.28,"44.77, 11.28"
1007,1824,24037,OC,2000.0,Fell,51.73,102.53,"51.73, 102.53"
1102,1824,30397,H5,2000.0,Fell,49.88,13.92,"49.88, 13.92"
383,1825,11904,L5,2420.0,Fell,21.3,-157.87,"21.3, -157.87"
45662,1825,30349,"Iron, IVA",421000.0,Found,17.53,-97.35,"17.53, -97.35"
674,1825,16904,H6,7500.0,Fell,38.42,-77.17,"38.42, -77.17"
773,1826,18176,L6,40000.0,Fell,48.53,35.98,"48.53, 35.98"
628,1826,16696,Pallasite,42.0,Fell,37.28,14.7,"37.28, 14.7"
315,1826,10846,H6,132.7,Fell,44.3,0.4,"44.3, 0.4"
257,1827,7728,L6,5000.0,Fell,36.4,-86.5,"36.4, -86.5"
113,1827,5042,Eucrite-pmict,4000.0,Fell,53.1,23.2,"53.1, 23.2"
617,1827,16629,L6,350.0,Fell,25.9,83.62,"25.9, 83.62"
17417,1828,12393,"Iron, ungrouped",626000.0,Found,43.73,6.78,"43.73, 6.78"
854,1828,22603,LL5,1800.0,Fell,37.47,-77.5,"37.47, -77.5"
230,1829,6634,L6,28.0,Fell,40.25,-74.0,"40.25, -74.0"
307,1829,10164,L6,16300.0,Fell,33.02,-83.97,"33.02, -83.97"
497,1829,12355,L6,2440.0,Fell,54.03,40.9,"54.03, 40.9"
5166,1829,5099,"Iron, IAB-MG",59000.0,Found,49.05,13.77,"49.05, 13.77"
782,1830,18797,LL5,2.0,Fell,56.4,-3.43,"56.4, -3.43"
529,1830,12740,L6,1060.0,Fell,51.9,-1.12,"51.9, -1.12"
1065,1831,24244,H5,3750.0,Fell,48.95,17.38,"48.95, 17.38"
1060,1831,24191,L6,20000.0,Fell,46.63,0.17,"46.63, 0.17"
38248,1832,24204,"Iron, IIAB",74800.0,Found,34.0,-87.17,"34.0, -87.17"
125,1833,5072,H6,470.0,Fell,49.37,16.63,"49.37, 16.63"
21637,1834,14651,"Iron, IAB-ung",20000.0,Found,31.55,-87.52,"31.55, -87.52"
189,1834,5330,H6,12000.0,Fell,29.48,75.5,"29.48, 75.5"
728,1834,18002,LL6,12000.0,Fell,50.83,25.5,"50.83, 25.5"
187,1835,5328,"Iron, IVA",4300.0,Fell,36.17,-87.33,"36.17, -87.33"
23,1835,461,LL5,700.0,Fell,51.78,-1.78,"51.78, -1.78"
12613,1836,10912,"Iron, IVA",26000000.0,Found,-25.5,18.0,"-25.5, 18.0"
56,1836,4893,Aubrite,800.0,Fell,44.38,5.17,"44.38, 5.17"
596,1836,15438,L6,1000.0,Fell,45.37,1.87,"45.37, 1.87"
564,1836,15370,H5,1500.0,Fell,-5.2,-36.67,"-5.2, -36.67"
38306,1836,24257,"Iron, IAB-MG",145000.0,Found,34.07,-98.92,"34.07, -98.92"
289,1837,10051,L6,1500.0,Fell,46.25,-1.1,"46.25, -1.1"
